alpha,probability_mass
0.0910845657982632,0.0023719039951132725
0.09168380636272545,0.0023582915125989
0.09228304692718771,0.002344816649421967
0.09288228749164996,0.002331466459950942
0.09348152805611223,0.0023182281880153887
0.09408076862057449,0.0023050892881079604
0.09468000918503675,0.0022920374457887976
0.095279249749499,0.0022790605972791028
0.09587849031396126,0.0022661469482310468
0.09647773087842351,0.0022532849916638395
0.09707697144288578,0.00224046352505603
0.09767621200734804,0.002227671666587671
0.09827545257181029,0.00221489887052557
0.09887469313627255,0.002202134941747184
0.0994739337007348,0.002189370049400864
0.10007317426519706,0.0021765947396996054
0.10067241482965933,0.002163799947849256
0.10127165539412158,0.002150977009110609
0.10187089595858384,0.002138117668999206
0.1024701365230461,0.0021252140926243343
0.10306937708750835,0.002112258873173508
0.10366861765197061,0.0020992450395463298
