NAICS,NAICS_TITLE,TELE,SKILL_INDEX,PSI,JOB_CREATION_BIRTHS
332,Fabricated Metal Product Manufacturing,0.07325234536323089,0.34702071621482683,0.8981167745291128,44625.0
314,Textile Product Mills,0.07357470120281498,0.2946905845123574,0.9020690464388011,2379.0
441,Motor Vehicle and Parts Dealers,0.07395115410512194,0.35879200730068805,0.9066845801081403,88141.0
312,Beverage and Tobacco Product Manufacturing,0.07611484468116152,0.3468673507650982,0.9332126972844009,10499.0
532,Rental and Leasing Services,0.08506732910529077,0.34111359920010015,1.0429754140295355,24838.0
336,Transportation Equipment Manufacturing,0.0929828205495182,0.3169718339404445,1.1400239878253817,34533.0
611,Educational Services,0.09371665362262815,0.3488330201667147,1.1490212122745953,67670.0
315,Apparel Manufacturing,0.09718006550825906,0.26986518402601234,1.1914846760198798,3546.0
236,Construction of Buildings,0.10045186879302825,0.41260077835973075,1.231598905788769,106967.0
324,Petroleum and Coal Products Manufacturing,0.10200945341613937,0.45294420166735067,1.2506958080221122,1130.0
561,Administrative and Support Services,0.10546058753268801,0.27872262034153333,1.2930087391078362,509400.0
488,Support Activities for Transportation,0.11041755766714952,0.36495834544860173,1.3537841041357301,45764.0
333,Machinery Manufacturing,0.11208994979192345,0.3433281561865693,1.3742886137647663,16279.0
323,Printing and Related Support Activities,0.11553137805566668,0.3450525806102611,1.416482545394945,10505.0
483,Water Transportation,0.11702629117881355,0.46885628604424606,1.4348110582323759,967.0
335,"Electrical Equipment, Appliance, and Component Manufacturing",0.11814309071773066,0.27957888034254796,1.4485036764647923,6612.0
486,Pipeline Transportation,0.11850810314237731,0.4767132383862535,1.452978943159137,1056.0
339,Miscellaneous Manufacturing,0.12003939549526407,0.31682375625023096,1.47175348671834,17833.0
325,Chemical Manufacturing,0.12427845621853151,0.43073485339298395,1.5237268607439176,27441.0
711,"Performing Arts, Spectator Sports, and Related Industries",0.1501850152958528,0.3190208729822528,1.8413564896970769,37325.0
712,"Museums, Historical Sites, and Similar Institutions",0.15195129910743135,0.293705016665129,1.8630121665479942,3192.0
221,Utilities,0.1567136017070071,0.4523340815285052,1.9214007932718762,19294.0
424,"Merchant Wholesalers, Nondurable Goods",0.1830592336029237,0.33164974385920204,2.2444137128441257,91960.0
211,Oil and Gas Extraction,0.18841147474319675,0.4486335185966758,2.3100353325420104,3367.0
531,Real Estate,0.209622113376201,0.3579964109963758,2.570090218980341,143110.0
517,Telecommunications,0.21433828035662694,0.3847917081942489,2.6279131959184547,35474.0
423,"Merchant Wholesalers, Durable Goods",0.2157882119304018,0.3493777695927534,2.645690208543367,108587.0
334,Computer and Electronic Product Manufacturing,0.219194729705077,0.3370495279390444,2.6874561170749875,14250.0
813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",0.21932269100694565,0.3512023261865871,2.6890249977863006,64650.0
512,Motion Picture and Sound Recording Industries,0.2217801913283444,0.31865127648867525,2.7191553949922143,23091.0
519,"Web Search Portals, Libraries, Archives, and Other Information Services",0.295296413833806,0.27323398017375466,3.620507458257504,10454.0
425,Wholesale Trade Agents and Brokers,0.32894189871563356,0.33607892314235194,4.0330208625682795,16907.0
551,Management of Companies and Enterprises,0.3474151551782936,0.37445625113853725,4.2595138359607905,81883.0
522,Credit Intermediation and Related Activities,0.3519432230698996,0.34652541068988524,4.315030607601243,148356.0
541,"Professional, Scientific, and Technical Services",0.35526041228449545,0.37649550682765615,4.355701295524513,558616.0
533,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),0.3571733721478005,0.3565435913828149,4.379155306910987,2201.0
518,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",0.3691780829506952,0.3157895018257113,4.5263401116020665,36232.0
523,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",0.37166990083894413,0.35492676370883425,4.55689126233193,66631.0
525,"Funds, Trusts, and Other Financial Vehicles",0.37575624141599223,0.33154391972798103,4.606992197673831,1146.0
521,Monetary Authorities-Central Bank,0.4038471948744545,0.36489000625731616,4.951403784612934,20.0
524,Insurance Carriers and Related Activities,0.41052211881654926,0.3490995399942831,5.033242272259644,141327.0
