"county","cbsa20","CountyName","CBSAName20","pop20","afact2","afact"
"County code","Core-based statistical area code","County name","2020 CBSA name","Total population (2020 Census)","cbsa20-to-county allocation factor","county-to-cbsa20 allocation factor"
"51137","99999","Orange VA","[not in a CBSA]",36254,0.002,1 
"51139","99999","Page VA","[not in a CBSA]",23709,0.0013,1 
"51141","99999","Patrick VA","[not in a CBSA]",17608,0.001,1 
"51143","19260","Pittsylvania VA","Danville, VA",60501,0.5869,1 
"51145","40060","Powhatan VA","Richmond, VA",30333,0.0231,1 
"51147","99999","Prince Edward VA","[not in a CBSA]",21849,0.0012,1 
"51149","40060","Prince George VA","Richmond, VA",43010,0.0327,1 
"51153","47900","Prince William VA","Washington-Arlington-Alexandria, DC-VA-MD-WV",482204,0.0755,1 
"51155","13980","Pulaski VA","Blacksburg-Christiansburg, VA",33800,0.2032,1 
"51157","47900","Rappahannock VA","Washington-Arlington-Alexandria, DC-VA-MD-WV",7348,0.0012,1 
"51159","99999","Richmond VA","[not in a CBSA]",8923,0.0005,1 
"51161","40220","Roanoke VA","Roanoke, VA",96929,0.3075,1 
"51163","99999","Rockbridge VA","[not in a CBSA]",22650,0.0013,1 
"51165","25500","Rockingham VA","Harrisonburg, VA",83757,0.6178,1 
"51167","99999","Russell VA","[not in a CBSA]",25781,0.0014,1 
"51169","28700","Scott VA","Kingsport-Bristol, TN-VA",21576,0.0701,1 
"51171","99999","Shenandoah VA","[not in a CBSA]",44186,0.0025,1 
"51173","99999","Smyth VA","[not in a CBSA]",29800,0.0017,1 
"51175","47260","Southampton VA","Virginia Beach-Norfolk-Newport News, VA-NC",17996,0.01,1 
"51177","47900","Spotsylvania VA","Washington-Arlington-Alexandria, DC-VA-MD-WV",140032,0.0219,1 
"51179","47900","Stafford VA","Washington-Arlington-Alexandria, DC-VA-MD-WV",156927,0.0246,1 
"51181","99999","Surry VA","[not in a CBSA]",6561,0.0004,1 
"51183","40060","Sussex VA","Richmond, VA",10829,0.0082,1 
"51185","14140","Tazewell VA","Bluefield, WV-VA",40429,0.3801,1 
"51187","47900","Warren VA","Washington-Arlington-Alexandria, DC-VA-MD-WV",40727,0.0064,1 
"51191","28700","Washington VA","Kingsport-Bristol, TN-VA",53935,0.1753,1 
"51193","99999","Westmoreland VA","[not in a CBSA]",18477,0.001,1 
"51195","13720","Wise VA","Big Stone Gap, VA",36130,0.9074,1 
"51197","99999","Wythe VA","[not in a CBSA]",28290,0.0016,1 
"51199","47260","York VA","Virginia Beach-Norfolk-Newport News, VA-NC",70045,0.0389,1 
"51510","47900","Alexandria city VA","Washington-Arlington-Alexandria, DC-VA-MD-WV",159467,0.025,1 
"51520","28700","Bristol city VA","Kingsport-Bristol, TN-VA",17219,0.056,1 
"51530","99999","Buena Vista city VA","[not in a CBSA]",6641,0.0004,1 
"51540","16820","Charlottesville city VA","Charlottesville, VA",46553,0.2101,1 
"51550","47260","Chesapeake city VA","Virginia Beach-Norfolk-Newport News, VA-NC",249422,0.1386,1 
"51570","40060","Colonial Heights city VA","Richmond, VA",18170,0.0138,1 
"51580","99999","Covington city VA","[not in a CBSA]",5737,0.0003,1 
"51590","19260","Danville city VA","Danville, VA",42590,0.4131,1 
"51595","99999","Emporia city VA","[not in a CBSA]",5766,0.0003,1 
"51600","47900","Fairfax city VA","Washington-Arlington-Alexandria, DC-VA-MD-WV",24146,0.0038,1 
"51610","47900","Falls Church city VA","Washington-Arlington-Alexandria, DC-VA-MD-WV",14658,0.0023,1 
"51620","47260","Franklin city VA","Virginia Beach-Norfolk-Newport News, VA-NC",8180,0.0045,1 
"51630","47900","Fredericksburg city VA","Washington-Arlington-Alexandria, DC-VA-MD-WV",27982,0.0044,1 
"51640","99999","Galax city VA","[not in a CBSA]",6720,0.0004,1 
"51650","47260","Hampton city VA","Virginia Beach-Norfolk-Newport News, VA-NC",137148,0.0762,1 
"51660","25500","Harrisonburg city VA","Harrisonburg, VA",51814,0.3822,1 
"51670","40060","Hopewell city VA","Richmond, VA",23033,0.0175,1 
"51678","99999","Lexington city VA","[not in a CBSA]",7320,0.0004,1 
"51680","31340","Lynchburg city VA","Lynchburg, VA",79009,0.302,1 
"51683","47900","Manassas city VA","Washington-Arlington-Alexandria, DC-VA-MD-WV",42772,0.0067,1 
"51685","47900","Manassas Park city VA","Washington-Arlington-Alexandria, DC-VA-MD-WV",17219,0.0027,1 
"51690","32300","Martinsville city VA","Martinsville, VA",13485,0.2093,1 
"51700","47260","Newport News city VA","Virginia Beach-Norfolk-Newport News, VA-NC",186247,0.1035,1 
"51710","47260","Norfolk city VA","Virginia Beach-Norfolk-Newport News, VA-NC",238005,0.1322,1 
"51720","13720","Norton city VA","Big Stone Gap, VA",3687,0.0926,1 
"51730","40060","Petersburg city VA","Richmond, VA",33458,0.0255,1 
"51735","47260","Poquoson city VA","Virginia Beach-Norfolk-Newport News, VA-NC",12460,0.0069,1 
"51740","47260","Portsmouth city VA","Virginia Beach-Norfolk-Newport News, VA-NC",97915,0.0544,1 
"51750","13980","Radford city VA","Blacksburg-Christiansburg, VA",16070,0.0966,1 
"51760","40060","Richmond city VA","Richmond, VA",226610,0.1724,1 
"51770","40220","Roanoke city VA","Roanoke, VA",100011,0.3172,1 
"51775","40220","Salem city VA","Roanoke, VA",25346,0.0804,1 
"51790","44420","Staunton city VA","Staunton, VA",25750,0.2053,1 
"51800","47260","Suffolk city VA","Virginia Beach-Norfolk-Newport News, VA-NC",94324,0.0524,1 
"51810","47260","Virginia Beach city VA","Virginia Beach-Norfolk-Newport News, VA-NC",459470,0.2553,1 
"51820","44420","Waynesboro city VA","Staunton, VA",22196,0.177,1 
"51830","47260","Williamsburg city VA","Virginia Beach-Norfolk-Newport News, VA-NC",15425,0.0086,1 
"51840","49020","Winchester city VA","Winchester, VA-WV",28120,0.1972,1 
"53001","36830","Adams WA","Othello, WA",20613,1,1 
"53003","30300","Asotin WA","Lewiston, ID-WA",22285,0.3462,1 
"53005","28420","Benton WA","Kennewick-Richland, WA",206873,0.6814,1 
"53007","48300","Chelan WA","Wenatchee, WA",79074,0.6481,1 
"53009","38820","Clallam WA","Port Angeles, WA",77155,1,1 
"53011","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA",503311,0.2003,1 
"53013","99999","Columbia WA","[not in a CBSA]",3952,0.0002,1 
"53015","31020","Cowlitz WA","Longview, WA",110730,1,1 
"53017","48300","Douglas WA","Wenatchee, WA",42938,0.3519,1 
"53019","99999","Ferry WA","[not in a CBSA]",7178,0.0004,1 
"53021","28420","Franklin WA","Kennewick-Richland, WA",96749,0.3186,1 
"53023","99999","Garfield WA","[not in a CBSA]",2286,0.0001,1 
"53025","34180","Grant WA","Moses Lake, WA",99123,1,1 
"53027","10140","Grays Harbor WA","Aberdeen, WA",75636,1,1 
"53029","36020","Island WA","Oak Harbor, WA",86857,1,1 
"53031","99999","Jefferson WA","[not in a CBSA]",32977,0.0018,1 
"53033","42660","King WA","Seattle-Tacoma-Bellevue, WA",2269675,0.5648,1 
"53035","14740","Kitsap WA","Bremerton-Silverdale-Port Orchard, WA",275611,1,1 
"53037","21260","Kittitas WA","Ellensburg, WA",44337,1,1 
"53039","99999","Klickitat WA","[not in a CBSA]",22735,0.0013,1 
"53041","16500","Lewis WA","Centralia, WA",82149,1,1 
"53043","99999","Lincoln WA","[not in a CBSA]",10876,0.0006,1 
"53045","43220","Mason WA","Shelton, WA",65726,1,1 
"53047","99999","Okanogan WA","[not in a CBSA]",42104,0.0023,1 
"53049","99999","Pacific WA","[not in a CBSA]",23365,0.0013,1 
"53051","99999","Pend Oreille WA","[not in a CBSA]",13401,0.0007,1 
"53053","42660","Pierce WA","Seattle-Tacoma-Bellevue, WA",921130,0.2292,1 
"53055","99999","San Juan WA","[not in a CBSA]",17788,0.001,1 
"53057","34580","Skagit WA","Mount Vernon-Anacortes, WA",129523,1,1 
"53059","38900","Skamania WA","Portland-Vancouver-Hillsboro, OR-WA",12036,0.0048,1 
"53061","42660","Snohomish WA","Seattle-Tacoma-Bellevue, WA",827957,0.206,1 
"53063","44060","Spokane WA","Spokane-Spokane Valley, WA",539339,0.9207,1 
"53065","44060","Stevens WA","Spokane-Spokane Valley, WA",46445,0.0793,1 
"53067","36500","Thurston WA","Olympia-Lacey-Tumwater, WA",294793,1,1 
"53069","99999","Wahkiakum WA","[not in a CBSA]",4422,0.0002,1 
"53071","47460","Walla Walla WA","Walla Walla, WA",62584,1,1 
"53073","13380","Whatcom WA","Bellingham, WA",226847,1,1 
"53075","39420","Whitman WA","Pullman, WA",47973,1,1 
"53077","49420","Yakima WA","Yakima, WA",256728,1,1 
"54001","99999","Barbour WV","[not in a CBSA]",15465,0.0009,1 
"54003","25180","Berkeley WV","Hagerstown-Martinsburg, MD-WV",122076,0.4154,1 
"54005","16620","Boone WV","Charleston, WV",21809,0.0843,1 
"54007","99999","Braxton WV","[not in a CBSA]",12447,0.0007,1 
"54009","48260","Brooke WV","Weirton-Steubenville, WV-OH",22559,0.193,1 
"54011","26580","Cabell WV","Huntington-Ashland, WV-KY-OH",94350,0.2622,1 
"54013","99999","Calhoun WV","[not in a CBSA]",6229,0.0003,1 
"54015","16620","Clay WV","Charleston, WV",8051,0.0311,1 
"54017","17220","Doddridge WV","Clarksburg, WV",7808,0.0863,1 
"54019","13220","Fayette WV","Beckley, WV",40488,0.3518,1 
"54021","99999","Gilmer WV","[not in a CBSA]",7408,0.0004,1 
"54023","99999","Grant WV","[not in a CBSA]",10976,0.0006,1 
"54025","99999","Greenbrier WV","[not in a CBSA]",32977,0.0018,1 
"54027","49020","Hampshire WV","Winchester, VA-WV",23093,0.1619,1 
"54029","48260","Hancock WV","Weirton-Steubenville, WV-OH",29095,0.2489,1 
"54031","99999","Hardy WV","[not in a CBSA]",14299,0.0008,1 
"54033","17220","Harrison WV","Clarksburg, WV",65921,0.7289,1 
"54035","16620","Jackson WV","Charleston, WV",27791,0.1074,1 
"54037","47900","Jefferson WV","Washington-Arlington-Alexandria, DC-VA-MD-WV",57701,0.009,1 
"54039","16620","Kanawha WV","Charleston, WV",180745,0.6982,1 
"54041","99999","Lewis WV","[not in a CBSA]",17033,0.0009,1 
"54043","16620","Lincoln WV","Charleston, WV",20463,0.0791,1 
"54045","34350","Logan WV","Mount Gay-Shamrock, WV",32567,1,1 
"54047","99999","McDowell WV","[not in a CBSA]",19111,0.0011,1 
"54049","21900","Marion WV","Fairmont, WV",56205,1,1 
"54051","48540","Marshall WV","Wheeling, WV-OH",30591,0.2193,1 
"54053","38580","Mason WV","Point Pleasant, WV-OH",25453,0.4655,1 
"54055","14140","Mercer WV","Bluefield, WV-VA",59664,0.5609,1 
"54057","19060","Mineral WV","Cumberland, MD-WV",26938,0.2834,1 
"54059","99999","Mingo WV","[not in a CBSA]",23568,0.0013,1 
"54061","34060","Monongalia WV","Morgantown, WV",105822,0.7557,1 
"54063","99999","Monroe WV","[not in a CBSA]",12376,0.0007,1 
"54065","25180","Morgan WV","Hagerstown-Martinsburg, MD-WV",17063,0.0581,1 
"54067","99999","Nicholas WV","[not in a CBSA]",24604,0.0014,1 
"54069","48540","Ohio WV","Wheeling, WV-OH",42425,0.3041,1 
"54071","99999","Pendleton WV","[not in a CBSA]",6143,0.0003,1 
"54073","99999","Pleasants WV","[not in a CBSA]",7653,0.0004,1 
