cbsa20,cbsatype20,CBSAName20,state_puma
24860,Metro,"Greenville-Anderson, SC",45-00104
22660,Metro,"Fort Collins, CO",08-00102
25840,Micro,"Hermiston-Pendleton, OR",41-00100
42660,Metro,"Seattle-Tacoma-Bellevue, WA",53-11702
14460,Metro,"Boston-Cambridge-Newton, MA-NH",25-03603
41860,Metro,"San Francisco-Oakland-Berkeley, CA",06-00103
17820,Metro,"Colorado Springs, CO",08-04101
41180,Metro,"St. Louis, MO-IL",17-01001
39580,Metro,"Raleigh-Cary, NC",37-01100
17860,Metro,"Columbia, MO",29-00600
33060,Micro,"Miami, OK",40-00100
41180,Metro,"St. Louis, MO-IL",29-01805
40140,Metro,"Riverside-San Bernardino-Ontario, CA",06-06506
41180,Metro,"St. Louis, MO-IL",17-01105
41180,Metro,"St. Louis, MO-IL",29-01808
37980,Metro,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42-03001
12540,Metro,"Bakersfield, CA",06-02901
19180,Metro,"Danville, IL",17-02200
16980,Metro,"Chicago-Naperville-Elgin, IL-IN-WI",17-03410
35620,Metro,"New York-Newark-Jersey City, NY-NJ-PA",36-04007
30660,Micro,"Lincoln, IL",17-01602
18140,Metro,"Columbus, OH",39-04103
48940,Micro,"Wilmington, OH",39-05200
14460,Metro,"Boston-Cambridge-Newton, MA-NH",25-04000
37980,Metro,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42-03103
14460,Metro,"Boston-Cambridge-Newton, MA-NH",25-03900
37980,Metro,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42-03402
12940,Metro,"Baton Rouge, LA",22-01500
38260,Micro,"Pittsburg, KS",20-01500
41940,Metro,"San Jose-Sunnyvale-Santa Clara, CA",06-08504
42660,Metro,"Seattle-Tacoma-Bellevue, WA",53-11504
11900,Micro,"Athens, OH",39-05000
19740,Metro,"Denver-Aurora-Lakewood, CO",08-00805
37980,Metro,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42-03210
41860,Metro,"San Francisco-Oakland-Berkeley, CA",06-01307
41860,Metro,"San Francisco-Oakland-Berkeley, CA",06-00104
19740,Metro,"Denver-Aurora-Lakewood, CO",08-00806
41860,Metro,"San Francisco-Oakland-Berkeley, CA",06-00108
12060,Metro,"Atlanta-Sandy Springs-Alpharetta, GA",13-03102
46060,Metro,"Tucson, AZ",04-00205
47540,Micro,"Wapakoneta, OH",39-02700
16980,Metro,"Chicago-Naperville-Elgin, IL-IN-WI",17-03527
12220,Metro,"Auburn-Opelika, AL",01-01900
16980,Metro,"Chicago-Naperville-Elgin, IL-IN-WI",17-03529
37980,Metro,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42-03104
41860,Metro,"San Francisco-Oakland-Berkeley, CA",06-00106
16980,Metro,"Chicago-Naperville-Elgin, IL-IN-WI",17-03420
12060,Metro,"Atlanta-Sandy Springs-Alpharetta, GA",13-02003
14460,Metro,"Boston-Cambridge-Newton, MA-NH",25-03500
19740,Metro,"Denver-Aurora-Lakewood, CO",08-00824
17060,Micro,"Chillicothe, OH",39-04800
31080,Metro,"Los Angeles-Long Beach-Anaheim, CA",06-03727
13820,Metro,"Birmingham-Hoover, AL",01-01304
16980,Metro,"Chicago-Naperville-Elgin, IL-IN-WI",17-03408
33460,Metro,"Minneapolis-St. Paul-Bloomington, MN-WI",27-01405
18140,Metro,"Columbus, OH",39-04105
42660,Metro,"Seattle-Tacoma-Bellevue, WA",53-11605
25540,Metro,"Hartford-East Hartford-Middletown, CT",09-01300
37980,Metro,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42-03207
28940,Metro,"Knoxville, TN",47-01601
31080,Metro,"Los Angeles-Long Beach-Anaheim, CA",06-03701
38900,Metro,"Portland-Vancouver-Hillsboro, OR-WA",41-00500
35620,Metro,"New York-Newark-Jersey City, NY-NJ-PA",36-03807
12060,Metro,"Atlanta-Sandy Springs-Alpharetta, GA",13-04003
37980,Metro,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42-03106
12540,Metro,"Bakersfield, CA",06-02902
42220,Metro,"Santa Rosa-Petaluma, CA",06-09701
12060,Metro,"Atlanta-Sandy Springs-Alpharetta, GA",13-04004
21340,Metro,"El Paso, TX",48-03303
19740,Metro,"Denver-Aurora-Lakewood, CO",08-00810
35620,Metro,"New York-Newark-Jersey City, NY-NJ-PA",36-03104
11620,Micro,"Ardmore, OK",40-00701
22500,Metro,"Florence, SC",45-00900
41860,Metro,"San Francisco-Oakland-Berkeley, CA",06-07501
14460,Metro,"Boston-Cambridge-Newton, MA-NH",25-01000
21500,Metro,"Erie, PA",42-00102
33660,Metro,"Mobile, AL",01-02703
12060,Metro,"Atlanta-Sandy Springs-Alpharetta, GA",13-01008
44140,Metro,"Springfield, MA",25-00200
16980,Metro,"Chicago-Naperville-Elgin, IL-IN-WI",17-03530
20820,Micro,"Effingham, IL",17-00700
42660,Metro,"Seattle-Tacoma-Bellevue, WA",53-11503
18140,Metro,"Columbus, OH",39-04106
16700,Metro,"Charleston-North Charleston, SC",45-01202
22660,Metro,"Fort Collins, CO",08-00103
28940,Metro,"Knoxville, TN",47-01603
35620,Metro,"New York-Newark-Jersey City, NY-NJ-PA",36-03105
10760,Micro,"Alexander City, AL",01-01800
41860,Metro,"San Francisco-Oakland-Berkeley, CA",06-07503
14460,Metro,"Boston-Cambridge-Newton, MA-NH",25-04901
31700,Metro,"Manchester-Nashua, NH",33-00900
37980,Metro,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42-03003
16700,Metro,"Charleston-North Charleston, SC",45-01201
