year,month,V,U,theta
2021,8,10956,8276,1.3238279362010634
2021,9,10879,7652,1.421719811813905
2021,10,11341,7279,1.5580436873196868
2021,11,11119,6751,1.6470152569989631
2021,12,11417,6398,1.7844638949671772
2022,1,11238,6512,1.7257371007371007
2022,2,11661,6301,1.8506586256149817
2022,3,12134,6014,2.01762554040572
2022,4,11881,6002,1.9795068310563146
2022,5,11483,5983,1.9192712685943507
2022,6,11256,5951,1.8914468156612334
2022,7,11610,5768,2.0128294036061027
2022,8,10148,5919,1.7144787970941038
2022,9,10812,5792,1.8667127071823204
2022,10,10488,5964,1.7585513078470825
2022,11,10619,5943,1.7868080094228505
2022,12,10876,5766,1.8862296219216095
2023,1,10393,5747,1.808421785279276
2023,2,9846,5962,1.651459241865146
2023,3,9572,5839,1.6393218016783695
2023,4,9992,5751,1.7374369674839159
2023,5,9310,6089,1.5289866973230415
2023,6,9191,5958,1.5426317556226923
2023,7,8606,5920,1.4537162162162163
2023,8,9287,6284,1.4778803309993636
2023,9,9279,6326,1.466803667404363
2023,10,8550,6479,1.3196480938416422
2023,11,8663,6254,1.3851934761752478
2023,12,8585,6315,1.3594615993665875
2024,1,8468,6149,1.3771344934135632
2024,2,8445,6462,1.306870937790158
2024,3,8093,6497,1.245651839310451
2024,4,7619,6492,1.1735982747997535
2024,5,7901,6635,1.1908063300678222
2024,6,7412,6849,1.082201781281939
2024,7,7504,7097,1.0573481752853318
2024,8,7649,7071,1.0817423278178475
2024,9,7103,6901,1.0292711201275178
2024,10,7615,6972,1.0922260470453242
2024,11,8031,7121,1.1277910405841876
2024,12,7508,6886,1.0903282021492884
2025,1,7762,6849,1.1333041319900716
2025,2,7480,7052,1.06069200226886
2025,3,7200,7083,1.0165184243964422
2025,4,7395,7166,1.0319564610661456
2025,5,7712,7237,1.0656349316014924
2025,6,7437,7015,1.0601568068424805
